Name,Description,Type,Unit
<activity>-hourOfDay-12-avg,Accelerometer-derived <activity> 12:00 - 12:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-13-avg,Accelerometer-derived <activity> 13:00 - 13:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-14-avg,Accelerometer-derived <activity> 14:00 - 14:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-15-avg,Accelerometer-derived <activity> 15:00 - 15:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-16-avg,Accelerometer-derived <activity> 16:00 - 16:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-17-avg,Accelerometer-derived <activity> 17:00 - 17:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-18-avg,Accelerometer-derived <activity> 18:00 - 18:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-19-avg,Accelerometer-derived <activity> 19:00 - 19:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-20-avg,Accelerometer-derived <activity> 20:00 - 20:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-21-avg,Accelerometer-derived <activity> 21:00 - 21:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-22-avg,Accelerometer-derived <activity> 22:00 - 22:59 proportion average,numeric,proportion of time
<activity>-hourOfDay-23-avg,Accelerometer-derived <activity> 23:00 - 23:59 proportion average,numeric,proportion of time
<activity>-hourOfWeekday-0-avg,Accelerometer-derived <activity> 00:00 - 00:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-1-avg,Accelerometer-derived <activity> 01:00 - 01:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-2-avg,Accelerometer-derived <activity> 02:00 - 02:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-3-avg,Accelerometer-derived <activity> 03:00 - 03:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-4-avg,Accelerometer-derived <activity> 04:00 - 04:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-5-avg,Accelerometer-derived <activity> 05:00 - 05:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-6-avg,Accelerometer-derived <activity> 06:00 - 06:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-7-avg,Accelerometer-derived <activity> 07:00 - 07:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-8-avg,Accelerometer-derived <activity> 08:00 - 08:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-9-avg,Accelerometer-derived <activity> 09:00 - 09:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-10-avg,Accelerometer-derived <activity> 10:00 - 10:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-11-avg,Accelerometer-derived <activity> 11:00 - 11:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-12-avg,Accelerometer-derived <activity> 12:00 - 12:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-13-avg,Accelerometer-derived <activity> 13:00 - 13:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-14-avg,Accelerometer-derived <activity> 14:00 - 14:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-15-avg,Accelerometer-derived <activity> 15:00 - 15:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-16-avg,Accelerometer-derived <activity> 16:00 - 16:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-17-avg,Accelerometer-derived <activity> 17:00 - 17:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-18-avg,Accelerometer-derived <activity> 18:00 - 18:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-19-avg,Accelerometer-derived <activity> 19:00 - 19:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-20-avg,Accelerometer-derived <activity> 20:00 - 20:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-21-avg,Accelerometer-derived <activity> 21:00 - 21:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-22-avg,Accelerometer-derived <activity> 22:00 - 22:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekday-23-avg,Accelerometer-derived <activity> 23:00 - 23:59 weekday proportion average,numeric,proportion of time
<activity>-hourOfWeekend-0-avg,Accelerometer-derived <activity> 00:00 - 00:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-1-avg,Accelerometer-derived <activity> 01:00 - 01:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-2-avg,Accelerometer-derived <activity> 02:00 - 02:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-3-avg,Accelerometer-derived <activity> 03:00 - 03:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-4-avg,Accelerometer-derived <activity> 04:00 - 04:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-5-avg,Accelerometer-derived <activity> 05:00 - 05:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-6-avg,Accelerometer-derived <activity> 06:00 - 06:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-7-avg,Accelerometer-derived <activity> 07:00 - 07:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-8-avg,Accelerometer-derived <activity> 08:00 - 08:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-9-avg,Accelerometer-derived <activity> 09:00 - 09:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-10-avg,Accelerometer-derived <activity> 10:00 - 10:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-11-avg,Accelerometer-derived <activity> 11:00 - 11:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-12-avg,Accelerometer-derived <activity> 12:00 - 12:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-13-avg,Accelerometer-derived <activity> 13:00 - 13:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-14-avg,Accelerometer-derived <activity> 14:00 - 14:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-15-avg,Accelerometer-derived <activity> 15:00 - 15:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-16-avg,Accelerometer-derived <activity> 16:00 - 16:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-17-avg,Accelerometer-derived <activity> 17:00 - 17:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-18-avg,Accelerometer-derived <activity> 18:00 - 18:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-19-avg,Accelerometer-derived <activity> 19:00 - 19:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-20-avg,Accelerometer-derived <activity> 20:00 - 20:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-21-avg,Accelerometer-derived <activity> 21:00 - 21:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-22-avg,Accelerometer-derived <activity> 22:00 - 22:59 weekend proportion average,numeric,proportion of time
<activity>-hourOfWeekend-23-avg,Accelerometer-derived <activity> 23:00 - 23:59 weekend proportion average,numeric,proportion of time
